Timestamp,EEG Signal
15.957,1022.33
15.974,1022
15.992,1022
16.008,1022.33
16.024,1022.33
16.041,1022.33
16.057,1022
16.074,1022
16.091,1022
16.107,1021.67
16.124,1021.67
16.141,1021.67
16.157,1022
16.174,1022
16.192,1022.33
16.208,1022.33
16.224,1022.33
16.241,1022.33
16.258,1022.33
16.274,1022.33
16.29,1022.33
16.308,1022.33
16.325,1022.33
16.341,1022
16.358,1022
16.375,1022
16.392,1022
16.407,1022
16.424,1022.33
16.441,1022.33
16.458,1022.67
16.474,1022.33
16.49,1022.33
16.507,1022.33
16.525,1022.33
16.541,1022.33
16.558,1022
16.574,1022
16.59,1022.33
16.607,1022.33
16.624,1022.67
16.641,1022.67
16.658,1022.67
16.674,1022.67
16.692,1022.33
16.708,1022.33
16.725,1022.33
16.742,1022.67
16.758,1023
16.774,1022.67
16.791,1022.33
16.807,1022
16.825,1022
16.842,1022
16.857,1022
16.874,1022.33
16.891,1022.33
16.907,1022.33
16.924,1022
16.941,1022.33
16.957,1022.33
16.974,1022.33
16.992,1022
17.008,1022
17.023,1022
17.041,1022
17.058,1022
17.074,1022
17.091,1022
17.108,1022
17.124,1022.33
17.141,1022.33
17.158,1022.33
17.174,1022.33
17.191,1022.33
17.208,1022
17.224,1022
17.241,1022
17.258,1022.33
17.274,1022
17.291,1022.33
17.308,1022.67
17.325,1023
17.341,1022.67
17.357,1022.67
17.374,1022.33
17.394,1022.33
17.408,1022.33
17.425,1022.67
17.443,1023
17.458,1022.33
17.475,1022
17.492,1021.67
17.508,1022
17.524,1022.33
17.541,1022.33
17.558,1022.33
17.576,1022.33
17.59,1022.33
17.609,1022.67
17.624,1022.33
17.64,1022.67
17.658,1022.67
17.674,1022.67
17.692,1022.33
17.708,1022
17.725,1022.33
17.742,1022.33
17.758,1022.33
17.774,1022
17.791,1022
17.808,1022.33
17.825,1022
17.842,1022
17.858,1021.33
17.874,1022
17.89,1022
17.908,1022.33
17.924,1022
17.942,1022
17.958,1022
17.974,1022
17.992,1022
18.008,1022.33
18.025,1022.33
18.041,1022.33
18.058,1022
18.075,1022.33
18.091,1022.67
18.108,1022.67
18.125,1022.67
18.142,1022.67
18.157,1022.67
18.174,1022.33
18.191,1022
18.207,1022
18.225,1022
18.241,1022.33
18.258,1022.33
18.275,1022.33
18.291,1022.33
18.307,1022.33
18.325,1022.33
18.342,1022.33
18.358,1022.33
18.375,1022.33
18.391,1022
18.408,1022.33
18.425,1022.33
18.441,1022.33
18.458,1022.33
18.474,1022.33
18.491,1022.33
18.509,1022
18.524,1022
18.54,1022.33
18.557,1022.33
18.574,1022.33
18.592,1022.33
18.608,1022.67
18.624,1023
18.641,1022.67
18.658,1022.33
18.675,1022.33
18.691,1022.33
18.708,1022.67
18.725,1022.33
